ClassTable,nameTextId,descTextId,number,promotion,SMSId,slowWalking,defaultPortraitId,unk0A,baseHP,basePow,baseSkl,baseSpd,baseDef,baseRes,baseCon,baseMov,maxHP,maxPow,maxSkl,maxSpd,maxDef,maxRes,maxCon,classRelativePower,growthHP,growthPow,growthSkl,growthSpd,growthDef,growthRes,growthLck,promotionHP,promotionPow,promotionSkl,promotionSpd,promotionDef,promotionRes,attributes,baseSwordRank,baseLanceRank,baseAxeRank,baseBowRank,baseStaffRank,baseAnimaRank,baseDaggerRank,baseStoneRank,pBattleAnimDef,pMovCostTable,pRainMovCostTable,pSnowMovCostTable,pTerrainAvoidLookup,pTerrainDefenseLookup,pTerrainResistanceLookup,classType
1027,0x88,0xe88,0x37,0x12,0xe3,0xe,0x2eee,0x50,-31,2,-50,18,1,53,30,14,0,-32,127,33,0,3,1,116,-16,1,-15,63,-16,3,-125,-65,81,39,-16,-16,3,0x1f03f51,146,85,222,221,144,190,30,187,0xeb00e0bb,0xb100310,0x23cc0300,0x6304e900,0x1dcce90,0x128122,0xcccbbbcc,3435969484
1028,0xbd09,0xccbb,0xdd,0x1,0x1a,0xbb,0xab,0x13,32,-86,-37,0,6,-37,-69,-70,-70,-67,0,-85,-86,-53,93,-69,-70,-37,50,0,-86,-70,45,34,-85,-53,45,34,0,0x2222dbba,187,170,186,222,0,187,170,91,0x45baabde,0x555500ee,0x34444434,0x32203333,0x43040033,0x44343333,0x234b0580,600572130
1029,0xe3,0xcd00,0x5c,0x9e,0x0,0xee,0xe5ce,0x0,0,51,-28,-18,9,35,34,50,-18,-99,2,-52,50,51,2,-45,-16,-80,50,127,-98,0,3,127,-29,16,8,-16,1,0x3f03ff1,241,63,240,3,241,63,213,240,0xdd401101,0x5e6e02,0xc00be03,0x30310c8,0x42e000a7,0xbbb50083,0xbbaaaa00,2880154283
1030,0x1aaa,0xbaaa,0xaa,0x0,0xa,0x0,0xba06,0x0,12,-69,2,-66,-70,-70,-69,-23,-34,1,62,45,32,34,50,1,42,50,-37,34,33,-30,-128,0,3,-29,-36,18,33,0x122d9e,34,14,45,17,50,14,29,33,0x5509e200,0xee444445,0x34ee3eee,0x2cf2ea00,0xf6130100,0x40ee2711,0xde130434,3437245261
1031,0x40dd,0x5dd,0x1e,0xcd,0x0,0xde,0xedbb,0x90,13,-50,-35,14,50,2,109,16,3,67,0,3,127,-28,64,68,19,-74,-13,-70,-73,39,64,3,97,39,19,-98,-1,0xf20f314,38,103,69,15,241,51,116,232,0x1f03ff1,0x1101f0f2,0x3431137,0x2ce90bf,0x9000d59f,0xe055bcde,0xcbbcc5,1438342361
1032,0xccce,0xed55,0x0,0xcd,0xcb,0xcc,0xcced,0xcc,-36,14,0,-69,-52,-19,0,18,33,-29,0,0,35,50,-98,0,85,-27,9,0,94,-36,0,-36,-36,0,-40,-15,40,0x5d6601f0,204,32,204,158,0,3,236,224,0xaeccbccc,0xcb8002,0x5315bc7a,0x6b122390,0x3b01adec,0xbb5b00cc,0x38465ff0,3859874240
1033,0xe854,0xf025,0x27,0x8c,0x3,0x3c,0x1610,0x37,59,-64,-1,23,63,17,68,32,19,6,34,17,68,52,-21,4,-1,65,51,-73,37,15,-77,0,19,16,23,50,16,0x1001f020,29,208,96,120,2,127,144,0,0xcbbce9b7,0xabce0000,0xbabe00bb,0xae4800bb,0xaabe0300,0xecbb0f00,0xeec2bcd,15537953
1034,0x9cbf,0xcb40,0x13,0x36,0xff,0xf1,0xf0ff,0x1,-16,1,-16,1,-16,1,-95,26,-88,10,32,3,95,-64,0,-8,60,24,-98,0,-32,24,97,1,37,72,77,113,51,0x3b272d20,0,2,3,3,195,0,3,149,0x30002510,0x42033201,0xf106337b,0x57fc20ef,0x3373627f,0x2fe1b319,0x51100109,3409130243
1035,0x3ccc,0x6732,0x8c,0xa8,0x5e,0xff,0xa21,0x19,83,25,91,-8,5,48,1,80,31,-16,25,-16,31,-9,-16,1,-16,31,-127,21,33,11,-52,10,116,64,31,-70,115,0x10fe00db,239,204,10,116,16,31,3,17,0xa806103c,0xc01f40,0xe5003c20,0xf834ccc3,0xd76a18b0,0x65473b31,0x7ee0,1872515925
1036,0x6318,0x4e33,0xb0,0x3d,0x4d,0x31,0x3b7d,0xff,34,26,26,13,33,-38,66,118,46,51,34,-114,21,-54,24,57,15,16,64,11,0,36,0,0,-48,1,-1,-1,0,0x1400f303,0,63,240,0,7,15,192,28,0xff00fff0,0xbf3fffff,0x10ff333,0x3f00f0,0xb003f0f0,0x6208018,0x3ff33f9f,33554665
1037,0xae9f,0x900f,0xee,0x6a,0x30,0x1d,0xee,0xe,0,0,30,-30,-97,-18,-34,0,65,-18,106,-42,65,106,102,-42,5,65,102,102,-42,18,0,3,27,80,63,0,-18,0x66009eee,102,234,238,0,102,170,85,85,0x33335aa6,0x23354400,0xa2341122,0x1e508022,0x12eeeee9,0x204666ae,0x30055d1,3508823363
1038,0x132,0x1244,0xd1,0xa2,0x53,0x22,0x10db,0x1c,-64,0,92,32,3,-18,-18,9,0,69,67,0,-18,-98,69,52,50,-28,91,52,2,35,50,91,52,51,42,-64,-65,0xa610800f,158,51,51,51,228,9,0,20,0xd09e4300,0xfd000ffa,0x3f102fff,0x401b333,0xf0ffff,0xf1e500cb,0x33001d,553713667
1039,0x320,0x21b7,0x23,0x3f,0x10,0x7,0x300,0xbf,0,4,16,11,17,59,32,63,15,1,13,0,-1,-16,-16,-16,125,-13,0,3,0,8,32,81,1,41,0,-125,15,0x806311,29,240,159,15,233,202,102,159,0x66abae00,0x666b6aef,0x6a6600e9,0xbba6ae66,0xba00ae6a,0x6cceab66,0x20aec666,17852006
1040,0x662d,0xa666,0xda,0x80,0x0,0x7,0x66aa,0x66,106,-90,102,-86,0,107,-54,-90,-70,107,108,-86,-54,0,-90,106,-52,76,-60,102,18,65,0,-86,34,43,66,106,42,0x2300e4dd,34,156,153,233,35,86,148,0,0x43562eb1,0xa25a2e9e,0xac253300,0x22353a25,0xadb2005a,0xaadb5a22,0xad0093a2,3315176358
1041,0x1ea6,0x4c,0xc5,0xa6,0x9e,0x34,0x5c65,0x35,51,2,101,-43,53,83,106,-43,1,35,-93,-128,0,3,51,91,-76,51,51,69,-67,-128,16,3,59,51,-44,68,59,0x44004d33,180,59,68,68,68,180,50,8,0x2a0000ee,0xe3a32c01,0x3300009e,0x33eeee42,0xeb00454a,0xe3354b33,0xb3544b3,2740210660
1042,0x1d00,0x1200,0x23,0x0,0xcf,0xdb,0x2ae1,0x31,47,47,18,27,0,3,-5,18,85,0,42,-3,64,3,18,97,16,23,33,20,2,56,32,3,63,0,16,19,15,0xa51103ff,0,15,32,19,18,79,84,224,0xe02700,0x5a01e061,0xd4f0e0,0xe0210003,0x10903900,0xaa6ac78,0xbaaa666b,812325889
1043,0xca03,0x6a09,0x66,0x66,0xcb,0x1,0xce29,0xaa,1,75,2,-84,-86,-86,-74,106,-74,16,14,-74,-12,0,22,1,93,49,80,0,1,-90,33,79,-90,-86,0,-70,-84,0xcc55355a,204,90,0,197,107,166,204,170,0x32aa66ca,0x1400cadd,0xdba66c01,0x80ad0700,0xa5352400,0xca55d5da,0x4a3500dc,3033909940
1044,0x6aaa,0x4504,0xad,0xaa,0x66,0x49,0x6600,0x9a,-85,2,106,102,-86,-36,102,70,1,34,68,32,68,77,0,3,-35,68,68,-44,-35,0,77,-44,-35,-45,-35,-35,52,0x33a30044,58,73,68,68,228,228,0,158,0x35444e99,0x8540e43,0x3d09e4a3,0xe4a36c02,0x430000e4,0xe49ee44e,0xe2005544,3810909662
1045,0xaabd,0x7e3d,0xe3,0xf1,0x31,0xc0,0x2201,0x67,17,51,-126,115,0,3,-112,-105,3,82,-23,34,2,-11,-16,17,52,1,47,33,76,-2,34,123,16,15,66,-109,16,0xd3a03103,200,80,1,174,9,171,170,170,0xe01d01e9,0x300a6,0xe066aa6a,0x6aacca,0x66c6ce00,0x6acce000,0x66e00000,3400182380
1046,0x66dc,0xaa06,0x6c,0xda,0x66,0xb6,0x3301,0x1,49,-90,32,-53,108,1,78,-53,-86,-86,106,-58,4,-74,-90,-70,-52,102,1,98,-44,-52,0,-86,68,-68,-51,68,-85,0xaa00bdca,202,204,189,187,188,75,189,0,0x5d4baaab,0xda4ddd55,0x34778800,0x22344444,0x22222624,0x33330350,0x1000200,875757635
1047,0x4433,0x4433,0x43,0x44,0x0,0x1a,0xdde1,0xd4,26,-31,-34,-51,-128,0,3,-68,-77,34,-51,-85,67,-44,2,-68,-70,68,-51,-85,-69,0,6,-53,-128,0,6,-36,-84,0xabe3da11,170,8,188,237,187,186,0,3,0xedbcbc,0xedcccccb,0x55dccbcc,0x55555d0b,0x11520035,0x3000712,0x906f0490,303300910
1048,0xee90,0x23,0x11,0xee,0xa3,0x12,0x1111,0x2a,18,0,17,-86,34,17,17,46,33,14,0,0,18,50,14,0,17,-30,9,-86,0,3,0,32,3,33,1,117,33,0x7e21fb03,254,17,1,81,39,240,3,81,0x8001f03f,0x6a00e001,0xac9000ac,0xc6,0xe000b6ce,0xe9006b6e,0x4e030080,1318087598
1049,0x6aae,0xe012,0x4b,0xe4,0x2,0x72,0xbbc6,0x1,94,-90,64,-54,17,53,-84,-38,-35,-83,-42,-67,0,-69,-84,-51,-69,-69,-36,-68,17,0,-69,-38,-52,18,-69,-84,-115,0xcb340088,90,85,238,202,154,68,0,51,0x33449ddd,0x41c11b,0xa9c12ba4,0x9ccbbbaa,0xdddcee00,0x4433ed9e,0xeed40045,869094724
1050,0xd55e,0xbc00,0x33,0xe3,0xcd,0xab,0xdaaa,0xbc,52,-70,-18,-127,31,0,6,45,0,6,-76,-70,0,-53,77,60,-69,-36,68,51,-53,0,77,-60,51,-36,68,60,51,0x33c4085d,51,85,3,215,34,34,59,45,0x7521bbaa,0x21034023,0xa002284,0x600226e,0x20114211,0x320103,0xd52103,839061514
1051,0xe00,0xe2,0xa,0xe3,0x11,0x23,0x3241,0x0,3,-30,-7,0,0,-29,2,119,87,-98,0,3,14,0,3,9,100,-1,-15,51,-15,63,-64,-16,1,80,1,-23,-85,0xbe4eaae4,1,186,174,78,228,238,238,78,0xb81302,0x3203303,0x3108f04,0xbbcccd,0xdcccdddc,0xadc12dad,0xd23e6b00,3722554029
1052,0x16b,0xe3aa,0xdd,0xaa,0xb6,0x33,0xbe,0x3,0,-82,-70,-74,-85,102,102,-38,-85,0,102,-90,-51,-86,106,-90,-68,-90,64,26,32,3,-67,102,107,-86,-42,97,1,0xb666aabb,186,173,170,1,31,64,93,1,0xcbba441f,0xbb445c,0xcb445ccc,0xcc4445cc,0x44455c00,0x444545dd,0x354d05cb,105137203
1053,0x446b,0x7800,0x1f,0x44,0x44,0x23,0x700,0x0,3,0,15,34,-94,48,1,-36,1,38,16,1,18,17,40,0,6,97,43,35,17,-22,0,7,1,32,0,2,-98,0x10e2e01,42,9,176,0,10,0,0,10,0xf0095f02,0x1f9e32,0x6306e3f0,0x9e13af53,0xf20f314,0x456726fe,0x3033f10f,4058514435
1054,0xf03f,0x5e01,0x80,0x0,0xac,0xe9,0x3b45,0x33,-32,94,52,0,51,-32,-28,-75,51,-32,-44,-34,0,68,-32,-44,-35,-19,-112,78,-35,0,-35,0,78,-44,-19,51,-82,0x43a100b6,174,198,170,67,190,202,0,172,0xbbabee34,0xbeedee,0xeceeedda,0xcc878ebb,0x8178ee00,0xaaadcccc,0xddaa00db,3669867178
1055,0xbaab,0xeb00,0xaa,0xbd,0xbb,0xec,0xdbbb,0xdd,10,14,-67,-20,-18,36,94,-98,3,83,-69,0,93,51,51,-37,84,51,51,-35,119,53,0,103,16,3,2,60,62,0x1201331,17,34,245,34,87,1,40,65,0xe301502b,0x19e0200,0x2232082b,0xb002122,0xd229e32,0x2209ee32,0x4a061401,2742703872
1056,0x700,0x11f0,0x26,0x0,0x0,0x30,0x1101,0x54,-24,-51,38,24,39,-116,15,-13,16,22,55,59,48,23,63,-1,17,68,32,19,6,34,17,68,52,-21,4,-1,65,0x6f0f2533,191,0,19,16,23,242,16,32,0x1d1001f0,0x23808917,0x8eeebf,0x8e4e00,0x4044e020,0xe3b403,0x3b604e90,3675691266
1057,0x7700,0x8871,0xee,0x0,0x77,0x17,0xe87,0x77,-118,-56,14,1,-88,-120,-20,0,-120,-56,14,8,103,-60,8,107,80,75,-112,-18,34,5,-120,34,-23,19,46,34,34,0xeee30200,24,200,128,106,129,65,11,50,0x55553222,0x49003ee,0x22134e00,0xe0030090,0x10224034,0x5322cc03,0x75500e5,3707768485
1058,0x8ed,0x58f,0xce,0x18,0x93,0x41,0x732,0x6f,-52,-35,-98,0,34,16,8,-41,-119,123,32,3,48,0,-8,-13,24,-98,0,-32,24,97,-50,1,37,72,77,-1,-16,0x3b17e825,0,2,15,50,15,63,0,3,0xf0002510,0xbc0f3201,0x7ff7b42,0x57fc2087,0xff73627f,0xdd38f033,0x4092ac1,859507753
1059,0xf2f3,0x1ff,0x8f,0x40,0x34,0xe0,0x1301,0x2b,25,91,-8,5,-80,31,-16,25,-64,-16,31,-91,94,52,-62,34,-32,60,44,0,18,-29,-52,52,-94,-17,-85,51,0,0x3bee0033,51,0,144,190,91,187,1,159,0x13e14be,0x97039e5b,0xa103ab04,0x2aaa22e2,0x4600e3,0xebb30203,0x9ebbaaaa,3339291393
1060,0x2311,0xef10,0x33,0xf3,0x3f,0x1,0x235,0x4f,17,60,-44,16,6,64,95,48,0,32,-13,0,-27,63,51,124,-5,-80,24,106,-41,49,59,71,101,-32,-73,0,0,0x7bff5355,89,99,180,86,47,62,140,49,0x1afe4f7f,0x210d1a1a,0x2a3442db,0x158e1df1,0x18c18ca,0xb4010,0xd0000024,3355393
1061,0xcc03,0x3800,0x0,0xc3,0x0,0xb,0x310,0x80,1,48,51,0,0,50,51,51,-29,51,-53,-100,-34,0,51,51,-23,-51,3,48,-50,-52,0,0,-18,0,0,-32,51,0x9e00e90e,153,238,190,201,236,107,166,0,0xaaaab5ce,0xcaaab5c5,0xab5cc500,0xb5ccddaa,0x361080aa,0x9eeee,0xeea66a,2791729822
1062,0xbcee,0xbbaa,0x0,0x3a,0x6a,0xb6,0x73ab,0x66,-74,106,4,115,-85,-58,58,17,-112,94,-18,-18,0,-98,0,35,113,-25,-98,119,23,0,113,-24,119,119,17,68,33,0x90435037,31,224,0,3,206,227,238,51,0x885e8e00,0x88e4cece,0x77ce0de8,0x7d008c85,0x300e0130,0x3e300003,0xec333333,3271769283
1063,0x3e88,0x3300,0xee,0x0,0x3,0x70,0x4d5,0x33,3,3,0,60,0,6,51,51,13,-52,60,-61,60,16,25,0,16,48,-112,127,64,3,48,39,51,-61,-52,52,60,0x3000f3c,48,192,0,32,241,29,1,21,0x3c6d3b10,0x11000e21,0x2f1132,0x4d00b328,0x301900b8,0x3103301,0x3332520,3456106544
1064,0x33cd,0xde00,0xcc,0x0,0x44,0x3,0x300,0x0,-23,93,0,-58,-29,0,0,0,62,-29,0,-112,62,-98,0,0,-32,50,14,-36,-59,-20,-18,-52,6,-20,-18,-112,-43,0xff00ec,192,9,41,224,9,0,30,14,0x3e005311,0xac000300,0xbe773aca,0x774caa,0x724cabe9,0x224abe90,0x4ee9000a,1212612644
1065,0x330,0x3e,0x48,0x11,0x87,0x88,0x1717,0x71,72,0,119,119,33,72,119,-120,40,66,0,119,-126,40,19,113,-126,-120,24,0,17,34,120,-121,49,34,114,-121,0,0xccc57138,85,17,67,85,0,120,55,164,0x56377785,0x63770078,0x63888c56,0x7700885a,0x8885bc66,0x54aca6,0x3eec887d,3968366339
1066,0x0,0x8777,0xc8,0xe,0x77,0x77,0xb088,0x10,3,-20,0,3,1,127,-121,-40,119,-121,44,-120,-36,33,35,51,0,1,1,58,0,-64,106,60,16,-15,17,51,48,0x119e6f11,51,3,66,3,1,88,3,195,0x14110300,0x30332733,0x30330901,0x15316c01,0xe70a00,0x112b0124,0x3034336f,540745995
1067,0xee13,0x5f11,0x61,0x2f,0x50,0x3,0x90,0x3,1,-21,64,3,-23,0,83,-18,-112,46,83,68,-32,50,24,69,68,-23,0,3,0,10,68,51,83,32,68,52,0,0x4522340a,68,51,72,52,1,35,52,67,0x9e30300,0x1334e00,0xe43359,0x980003,0xc80012,0x3e4f0012,0x42030043,2382729216
1068,0x24,0x88e0,0x0,0x3,0x82,0x0,0x3,0x22,36,0,-23,40,-124,0,-114,0,24,67,24,34,119,51,120,33,0,113,52,120,23,18,52,-120,23,0,17,65,-126,0x11411777,136,0,119,17,18,113,119,120,0x77001118,0xb4aca687,0xd6cadc,0x66ca5aa4,0xa6ca66bd,0xa3ab6d00,0x44a6ada6,1792671910
1069,0xa341,0x6dda,0x77,0xa4,0x0,0x6a,0x7dd6,0x87,-120,-115,-43,85,0,85,120,-52,-74,-43,17,102,-74,0,-35,24,-90,-74,-115,-120,-74,-36,0,34,72,-90,-37,66,20,0x88148ddd,23,226,0,131,39,0,143,119,0x9e00e8,0x9e88811,0x87408333,0x7771df22,0x3711e711,0x1244333a,0x51083170,184564776
1070,0x7cc0,0x1033,0xba,0x12,0xcf,0x1,0x52,0x12,64,3,51,60,-29,0,25,1,-114,0,3,0,60,48,1,71,16,51,-16,33,47,-111,63,16,3,81,63,0,94,0x33003443,224,67,51,67,224,50,51,0,0x4332e9e4,0xe4332e9e,0xe4320907,0x6a03009e,0x2e01cf22,0x21c721f0,0x201e02a,1099378321
1071,0x90,0x717e,0x88,0xe0,0x7e,0x12,0xe077,0x0,126,39,34,-23,37,119,34,-34,0,84,114,-35,-34,84,-46,44,-43,0,52,-43,34,-120,17,113,119,-124,8,24,17,0x4008871,136,51,132,0,136,130,136,51,0x78832d44,0x3dd33300,0xd3138883,0x88330033,0x77aacc44,0x44004488,0x77788221,41357858
1072,0x3877,0x1111,0x11,0x84,0x1,0x68,0x48,0x88,-120,-120,120,68,68,68,-92,0,-115,120,119,-52,51,34,119,119,0,71,40,50,-120,-120,68,-76,17,0,34,-44,-85,0xabeee881,136,16,158,144,190,4,54,233,0xa66331,0xa6666346,0xaaabb4ba,0xa66aba00,0x666aa4aa,0x6abb026b,0xaa666a66,447415040
1073,0xbb66,0x536a,0xf7,0x0,0xc3,0x30,0xc14,0xea,-86,0,3,-21,0,16,-74,0,3,102,0,20,51,-1,1,78,17,66,33,98,1,94,1,66,51,-73,33,106,16,0x3be1f0e3,192,3,240,1,176,1,30,225,0x2e2d0000,0x22030012,0x3006702,0x280300e9,0x30023e0,0x35030025,0xd3003d55,861229362
1074,0x125d,0x21,0x55,0x25,0x22,0x22,0x3222,0x22,50,34,51,67,32,3,34,51,51,16,3,52,0,49,-115,56,85,19,-45,-120,67,0,53,50,93,68,84,35,51,0x35440144,50,68,68,84,52,0,3,0,0x44444344,0xee333345,0x148ee32,0x20008,0xd36d00ed,0x320700a8,0x223d700,2659398876
1075,0x11f4,0x1b7,0xff,0xf0,0x1,0x0,0xe901,0x0,26,-50,-66,0,-85,106,-85,-66,-90,102,-74,-23,-128,16,3,-54,-90,-85,-34,108,-90,102,0,110,107,-90,102,-52,-52,0xab0066ac,186,203,108,102,230,9,0,2,0xe6666,0x3006b66,0xe00bb,0xebaaa,0x10ffea6a,0x11b30503,0xf027514c,289390851
1076,0x1460,0xfcf3,0x13,0xcf,0x21,0x70,0xb15,0x65,127,-43,103,117,89,-32,91,-81,64,3,-68,0,-81,-66,21,-29,48,-69,48,-41,1,50,42,51,35,1,40,53,0,0x8005b08,187,160,0,8,188,0,8,206,0xe92355bb,0x55dbcc01,0xe3444333,0xce554203,0x6d50300,0x2a00d59b,0xc0672153,771752960
1077,0x4422,0xe878,0x9,0x8e,0x0,0x78,0xee87,0xed,-116,56,-125,-19,0,-18,68,115,-42,-98,-114,119,101,0,14,-23,-120,83,-98,-112,-18,50,68,-27,16,107,-32,-68,9,0x9e0300,0,233,213,232,233,190,171,200,0xaaaa00be,0xaaaa5333,0x66005844,0xcbb58ebb,0x20bbabac,0x300cbbb,0xbbccccab,3416916139
1078,0xaacc,0xaaaa,0xcb,0xbd,0x0,0xab,0xabaa,0xdb,-86,-70,-86,-38,4,-86,-69,-86,-85,-84,1,35,-54,-21,21,0,0,-86,5,-65,-70,0,7,-69,0,3,0,-68,-53,0xccbc000e,14,0,115,197,0,3,241,51,0xc33303c0,0x3301c803,0x3e8138f,0x36360c33,0x3200f00,0x36bf4e25,0x26850c77,1645289984
1079,0x3a24,0x1f0,0xa0,0x1,0x8,0x90,0xdcee,0xbd,3,-57,-35,0,-18,0,94,-18,-32,-51,-59,-27,-34,-52,1,-59,-19,-50,-52,92,-19,-34,0,3,4,-23,-52,-52,-27,0xbd4f0155,91,0,85,85,172,186,202,170,0xba10baad,0xd400adaa,0xaacbaddc,0xdddccc09,0xbbf300dd,0x8230122,0xbe00e555,3401508608
1080,0xea,0xe000,0xba,0xde,0xe,0xe0,0xcdda,0x14,14,0,-67,0,-29,-69,0,3,92,-69,0,-53,107,-50,-69,-36,107,-66,-53,0,-51,-69,-66,-37,-67,-69,-50,-36,0,0xbde9cbbb,187,220,233,206,1,203,205,144,0x66bbdeee,0xcc002301,0xbcabbaab,0xbabaaa,0xbabccbbb,0xebabcbcd,0xbbbbbc00,3168582635
1081,0x7e5,0xbdcb,0xcb,0x35,0xee,0x3,0x13b4,0xb7,16,3,-1,20,-121,19,-49,84,-117,23,15,-15,51,-123,38,16,7,34,107,119,-61,18,123,5,20,17,28,67,17,0x2936219,132,248,16,15,70,145,21,78,0x3002600,0x3130303c,0x3003330,0xc33393d2,0x6057010c,0x6f226c3,0xcce030fa,2415942860
1082,0xdccd,0xdc,0xce,0xcc,0xdd,0x0,0xce00,0xcb,-52,0,-34,-68,-69,0,0,-34,-51,-69,0,-32,-35,-35,0,48,3,-18,-18,-50,-52,-68,-69,0,-19,-51,-69,-69,-19,0x4ddd55e,236,205,204,204,235,1,53,203,0xddcc00de,0xbbbcceed,0xbb08ceee,0x1dbbbcb,0x9ed27,0xdc00dd48,0x700eccc,3805
1083,0xeddd,0x9e,0xbb,0xcc,0xed,0x9,0xcc0f,0xcc,-36,-98,1,-96,18,-9,16,-2,-13,-57,-128,0,1,-36,-69,92,51,-18,-52,-27,5,52,-18,-18,14,94,0,14,78,0x60aa0749,1,53,5,192,53,6,247,52,0xf7440300,0x33210b00,0x411d638,0x61fd2003,0x9f0b052f,0x3b300300,0xa5043f42,336705347
1084,0x1d15,0xf288,0x50,0x30,0x30,0xc,0xc408,0xc3,-61,67,121,-52,41,60,80,92,113,55,17,67,51,0,9,114,94,-52,41,92,-61,0,16,-126,-104,17,69,40,62,0x203c60c3,31,217,81,224,189,204,204,224,0xec1002a0,0xcde30300,0x190aabc,0xccccde,0x1cccde9,0xdb29cb12,0xbbec8302,62620419
1085,0x1378,0xa77c,0x0,0xb,0xdc,0x1,0xee37,0xee,26,84,66,43,16,-14,15,-50,-52,-52,-52,25,-5,32,-2,-16,1,0,71,125,-52,32,127,-92,122,32,-52,17,34,0x10bcf319,30,118,35,56,147,128,1,66,0x6f23cc6f,0x57f0,0x7bff5355,0x5ad56b9b,0x318c4250,0x1afe4f7f,0x210d1a1a,710230778
1086,0x1df1,0x158e,0xca,0x18,0x8c,0x1,0x4010,0xb,0,36,0,0,-48,1,51,51,0,3,60,0,20,0,-61,48,0,7,3,-64,28,48,51,0,51,51,51,-61,67,0x1033ccc,48,0,195,0,48,48,12,176,0x6408918,0xccc33c,0x3003b,0x3c90e020,0x1f104c10,0xcc3cc33c,0x1f00e033,2112889104
1087,0x3333,0xcccc,0xcc,0xc8,0x0,0x3f,0x110,0x90,-18,-16,31,-109,-18,-52,0,-100,-18,106,-112,-18,106,102,-18,20,-52,100,102,-128,26,-23,0,46,-82,-18,0,-18,-82,0xba666666,171,102,24,102,166,187,16,8,0xeeee1c50,0x66000009,0x669eeeba,0xed0056aa,0xc56aacba,0xcaaca66,0xdaa666d5,1548773184
1088,0x3,0x9e00,0x33,0x33,0x23,0xed,0xbcee,0x33,0,-52,-75,-98,51,-52,-91,-21,57,-109,-16,127,0,0,0,-68,0,0,1,33,32,3,-73,33,35,-61,16,7,0,0x4004303,16,11,17,59,97,195,0,254,0x3030e300,0x3003c30,0x800e0,0x300e113b,0x3333303,0x6311d6,0x3c00301d,2428976
1089,0xc31b,0xd,0x33,0xc3,0xc,0x21,0x9111,0x15,48,48,12,-128,1,7,-32,85,0,0,78,69,0,1,-32,84,68,0,-32,69,84,0,14,0,84,0,-34,88,85,0xeeeee9,106,94,85,101,102,84,68,84,0x54346600,0x35536554,0x53580044,0x54588544,0x58008775,0xb5877775,0x82c66666,1722550033
1090,0x4666,0x6a,0x3,0xaa,0xc0,0x0,0xf,0x3,102,-85,106,102,-90,-53,11,108,102,-74,102,0,12,-54,1,43,16,3,-128,0,35,-86,-84,-86,-86,-54,-70,-86,0,0xaaeea4aa,74,235,9,204,128,0,3,166,0xaaccc5ab,0x5e00eeec,0xe0009eba,0x280009eb,0x8c009ee0,0xdc9f8009,0xe04aaad,1051437781
1091,0x3700,0xba0e,0x0,0xae,0xca,0xe,0xeeee,0xea,9,0,109,-23,16,37,65,47,35,18,27,0,3,59,18,85,-2,0,-52,64,3,18,97,16,23,33,20,0,-5,0x9bc30320,0,16,3,51,1,4,1,101,0x12132003,0x2740fd4f,0x33005611,0x75421610,0x32903dc2,0xaae9002f,0xc6ae9000,1778442240
1092,0x6a,0x66e9,0x66,0x90,0xae,0x0,0x788d,0xe9,106,-115,120,-66,102,0,86,85,107,102,-42,-75,107,102,2,-38,-67,-52,-84,-86,-67,1,10,-38,0,102,102,68,-38,0xa45d7777,0,119,221,188,164,213,85,170,0x6cc600d4,0xa6666db6,0xa600ad6b,0xbcada6a6,0xaada66,0xaadd66ab,0x66ba66ac,1806085121
1093,0xc6a6,0x6caa,0x0,0x3,0xc,0x64,0xc66a,0x4a,1,41,16,3,100,102,0,-90,70,102,106,102,-86,-54,-69,33,14,106,0,3,102,-54,-70,14,1,62,4,-98,-90,0xebacaa,3,234,106,23,166,172,234,0,0x5ff3ea0f,0x47910170,0x4001f0fd,0x11672201,0x90738233,0x34113003,0x222451ff,1108283515
1094,0x1093,0x3103,0x27,0xf3,0x69,0x40,0x8001,0x3,46,0,-82,-90,102,0,-66,-86,0,102,-112,-66,-86,-86,-32,-82,-92,0,-86,-32,-70,100,107,-18,107,102,6,107,-66,0x32646666,23,18,31,170,0,186,187,164,0xba66cbaa,0x66ac0844,0x300dbaa,0x2a6eeeb,0xdd909eba,0x34026ddd,0xcbcc04ca,44461260
1095,0xaa57,0xe0aa,0x2,0x65,0x0,0x2,0x5712,0x56,-82,-86,-86,69,-88,16,21,-84,0,16,108,50,-124,-86,-70,90,0,85,-75,85,69,52,-91,68,68,0,51,-75,68,0x66bb5344,202,4,106,186,166,202,166,1,0x22a66a32,0x1f006bbb,0x2aaaaab,0xab00aa80,0xdd5aaddd,0x7d5adcab,0x10a2000e,340857347
1096,0x100c,0xe503,0x1,0x38,0x7f,0xd4,0x1400,0x10,3,-16,1,-15,63,-16,3,-109,-65,81,39,-15,-16,3,65,63,2,87,4,91,0,0,110,64,3,97,-66,64,3,0x6ee98a10,102,74,2,9,36,107,170,3,0x106ba64a,0xcba603,0xbcccaacc,0xcbbdd6bb,0xcdab2a,0x3403a603,0xb6bc00bb,3869966514
1097,0xb700,0x1d03,0x0,0xdc,0x0,0xb,0x90cb,0x0,19,-69,-20,0,64,-50,92,68,0,27,-23,94,68,3,-37,80,3,-28,0,90,16,-18,-64,32,119,1,35,-37,68,0x54cd5355,0,85,211,172,84,85,205,186,0xaccd00ee,0xbabcd95b,0xba04ce55,0xcbac555c,0xdaab0300,0xbcba3500,0xcccb33da,3436380221
