MagicAnimationTable,itemNumber,isMapOnly,magicAnim,unk06,mapAnim,changeHP,mapFacing,mapColor,unk0F
340,0x16e,0x16e,0xf41,0x0,0x0,0x0,0x0,0x0,0x0
341,0x1c,0xffff,0x0,0x101,0x1a101b1,0x0,0x0,0x0,0xff
342,0x2a00,0x0,0x3304,0x81c,0x44430042,0x45,0x5,0x0,0x46
343,0x0,0xf,0x60d,0x900,0xa0234,0x14,0x0,0xf,0x0
344,0xa,0x14,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
345,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
346,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
347,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
348,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
349,0x424,0x0,0x16f,0x16f,0x1047,0x0,0x0,0x0,0x0
350,0x0,0x0,0x1e,0xffff,0x1010000,0xb2,0x1,0x9e,0x1
351,0x1,0xff00,0x3000,0x0,0x81c3308,0x18,0x0,0x48,0x1a
352,0x1c49,0x4a00,0x0,0x10,0x10000001,0x44,0x2,0xd,0x0
353,0x15,0xf,0xd,0x15,0xffff000f,0xff,0xff,0xb,0x0
354,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
355,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
356,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
357,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
358,0x424,0x0,0x424,0x0,0x1700170,0x4b,0x11,0x0,0x0
359,0x0,0x0,0x0,0x0,0xffff0020,0x0,0x0,0x1,0x1
360,0x1b3,0x1a1,0x0,0xff00,0xc00,0xc,0x33,0x1c,0x8
361,0x1,0x34c,0x54d,0x4e00,0x110000,0x1,0x0,0x0,0x14
362,0x244,0xd,0x15,0xf,0x15000d,0xf,0x0,0xff,0xff
363,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
364,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
365,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
366,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
367,0x424,0x0,0x424,0x0,0x424,0x71,0x1,0x71,0x1
368,0x124f,0x0,0x0,0x0,0x0,0x22,0x0,0xff,0xff
369,0x0,0x101,0x1b4,0x19d,0xff000003,0x0,0x18,0x0,0x0
370,0x3310,0x81c,0x50,0x5251,0x55540053,0x0,0x0,0x12,0x0
371,0x1b01,0x200,0x244,0xd,0xf0015,0xd,0x0,0x15,0x0
372,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
373,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
374,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
375,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
376,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
377,0x172,0x172,0x1356,0x0,0x0,0x0,0x0,0x0,0x0
378,0x24,0xffff,0x0,0x101,0x19e01b5,0x1,0x0,0x0,0xff
379,0x3200,0x0,0x3314,0x81c,0x1a570018,0x58,0x1c,0x0,0x59
380,0x3,0x13,0xb11,0x1100,0x110244,0x18,0x0,0x11,0x0
381,0x11,0x18,0x11,0xffff,0xbffff,0xff,0xff,0xff,0xff
382,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
383,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
384,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
385,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
386,0x424,0x0,0x173,0x173,0x145a,0x0,0x0,0x0,0x0
387,0x0,0x0,0x26,0xffff,0x1010000,0xb6,0x1,0x9c,0x1
388,0xe02,0xffc8,0xb00,0x0,0x81c3318,0x1,0x0,0x5b,0x3
389,0x55c,0x5d00,0x0,0x14,0xd000c0c,0x44,0x2,0xd,0x0
390,0x15,0xf,0xd,0x15,0xffff000f,0xff,0xff,0xb,0x0
391,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
392,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
393,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
394,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
395,0x424,0x0,0x424,0x0,0x1740174,0x5e,0x15,0x0,0x0
396,0x0,0x0,0x0,0x0,0xffff0028,0x0,0x0,0x1,0x1
397,0x1b7,0x1a0,0x0,0xff00,0x3100,0x1c,0x33,0x1c,0x8
398,0x5f,0x6160,0x62,0x6300,0x150000,0xc,0x14,0x0,0xd
399,0x244,0xe,0x16,0xf,0x16000e,0xf,0x0,0xff,0xff
400,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
401,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
402,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
403,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
404,0x424,0x0,0x424,0x0,0x424,0x75,0x1,0x75,0x1
405,0x1664,0x0,0x0,0x0,0x0,0x2a,0x0,0xff,0xff
406,0x0,0x100,0x1b8,0x19d,0xff000003,0x0,0x34,0x0,0x0
407,0x3320,0x81c,0x5f,0x6160,0x66000065,0x0,0x0,0x16,0x0
408,0x60c,0xd00,0x244,0x45,0xf0016,0x45,0x0,0x16,0x0
409,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
410,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
411,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
412,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
413,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
414,0x176,0x176,0x1767,0x0,0x0,0x0,0x0,0x0,0x0
415,0x2b,0xffff,0x0,0x100,0x19d01b9,0x3,0x0,0x0,0xff
416,0x3400,0x0,0x3328,0x81c,0x3e68003c,0x69,0x0,0x0,0x6a
417,0x0,0x17,0xa13,0xa00,0xc0234,0x14,0x0,0xf,0x0
418,0xc,0x14,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
419,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
420,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
421,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
422,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
423,0x424,0x0,0x177,0x177,0x186b,0x0,0x0,0x0,0x0
424,0x0,0x0,0x12,0xffff,0x1010000,0xba,0x1,0xa1,0x1
425,0x0,0xff00,0x2600,0x0,0x81c332c,0x6c,0x0,0x6d,0x6e
426,0x56f,0x7000,0x0,0x18,0x13000001,0x34,0x2,0xc,0x0
427,0x14,0xf,0xc,0x14,0xffff000f,0xff,0xff,0xb,0x0
428,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
429,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
430,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
431,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
432,0x424,0x0,0x424,0x0,0x1780178,0x71,0x19,0x0,0x0
433,0x0,0x0,0x0,0x0,0xffff0014,0x0,0x0,0x1,0x1
434,0x1bb,0x19c,0xb02,0xff1d,0x700,0x30,0x33,0x1c,0x8
435,0xe,0x1072,0x1273,0x7400,0x190000,0x8,0x15,0x0,0x7
436,0x234,0xc,0x14,0xf,0x14000c,0xf,0x0,0xff,0xff
437,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
438,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
439,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
440,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
441,0x424,0x0,0x424,0x0,0x424,0x79,0x1,0x79,0x1
442,0x1a75,0x0,0x0,0x0,0x0,0x18,0x0,0xff,0xff
443,0x0,0x101,0x1bd,0x19d,0xff000003,0x0,0x7,0x0,0x0
444,0x3334,0x81c,0x1,0x302,0x77000576,0x0,0x0,0x1a,0x0
445,0xe0f,0x0,0x234,0xc,0xf0014,0xc,0x0,0x14,0x0
446,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
447,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
448,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
449,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
450,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
451,0x17a,0x17a,0x1b78,0x0,0x0,0x0,0x0,0x0,0x0
452,0x1a,0xffff,0x0,0x1,0x19e01be,0x1,0x0,0x0,0xff
453,0x1800,0x0,0x3338,0x81c,0x7b7a0079,0x7c,0x7d,0x0,0x7e
454,0x0,0x1b,0x1,0xf00,0xc0234,0x14,0x0,0xf,0x0
455,0xc,0x14,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
456,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
457,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
458,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
459,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
460,0x424,0x0,0x17b,0x17b,0x1c7f,0x0,0x0,0x0,0x0
461,0x0,0x0,0x1c,0xffff,0x1010000,0xbf,0x1,0xa1,0x1
462,0x0,0xff00,0xc00,0x0,0x81c333c,0x42,0x0,0x43,0x44
463,0x545,0x4600,0x0,0x1c,0x900040d,0x44,0x2,0xc,0x0
464,0x14,0xf,0xc,0x14,0xffff000f,0xff,0xff,0xb,0x0
465,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
466,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
467,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
468,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
469,0x424,0x0,0x424,0x0,0x17c017c,0x80,0x1d,0x0,0x0
470,0x0,0x0,0x0,0x0,0xffff001e,0x0,0x0,0x1,0x1
471,0x1b2,0x19e,0x1,0xff00,0x3000,0x40,0x33,0x1c,0x8
472,0x18,0x1a48,0x1c49,0x4a00,0x1d0000,0x1,0x0,0x0,0x10
473,0x244,0xd,0x15,0xf,0x15000d,0xf,0x0,0xff,0xff
474,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
475,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
476,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
477,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
478,0x424,0x0,0x424,0x0,0x424,0x7d,0x1,0x7d,0x1
479,0x1e81,0x0,0x0,0x0,0x0,0x20,0x0,0xff,0xff
480,0x0,0x101,0x1b3,0x1a1,0xff000000,0x0,0xc,0x0,0x0
481,0x3344,0x81c,0x1,0x34c,0x4e00054d,0x0,0x0,0x1e,0x0
482,0x1,0x1400,0x244,0xd,0xf0015,0xd,0x0,0x15,0x0
483,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
484,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
485,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
486,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
487,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
488,0x17e,0x17e,0x1f82,0x0,0x0,0x0,0x0,0x0,0x0
489,0x22,0xffff,0x0,0x101,0x19d01b4,0x3,0x0,0x0,0xff
490,0x1800,0x0,0x3348,0x81c,0x52510050,0x53,0x0,0x54,0x55
491,0x0,0x1f,0x1b01,0x200,0xd0244,0x15,0x0,0xf,0x0
492,0xd,0x15,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
493,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
494,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
495,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
496,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
497,0x424,0x0,0x17f,0x17f,0x2083,0x0,0x0,0x0,0x0
498,0x0,0x0,0x24,0xffff,0x1010000,0xb5,0x1,0x9e,0x1
499,0x1,0xff00,0x3200,0x0,0x81c334c,0x18,0x0,0x57,0x1a
500,0x1c58,0x5900,0x3,0x20,0x11000b11,0x44,0x2,0x11,0x0
501,0x18,0x11,0x11,0x18,0xffff0011,0xff,0xff,0xb,0x0
502,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
503,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
504,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
505,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
506,0x424,0x0,0x424,0x0,0x1800180,0x84,0x21,0x0,0x0
507,0x0,0x0,0x0,0x0,0xffff0026,0x0,0x0,0x1,0x1
508,0x1b6,0x19c,0xe02,0xffc8,0xc00,0x50,0x33,0x1c,0x8
509,0x1,0x35b,0x55c,0x5d00,0x210000,0xc,0xc,0x0,0xd
510,0x244,0xd,0x15,0xf,0x15000d,0xf,0x0,0xff,0xff
511,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
512,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
513,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
514,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
515,0x424,0x0,0x424,0x0,0x424,0x81,0x1,0x81,0x1
516,0x2285,0x0,0x0,0x0,0x0,0x28,0x0,0xff,0xff
517,0x0,0x101,0x1b7,0x1a0,0xff000000,0x0,0x31,0x0,0x0
518,0x3354,0x81c,0x5f,0x6160,0x63000062,0x0,0x0,0x22,0x0
519,0x140c,0xd00,0x244,0xe,0xf0016,0xe,0x0,0x16,0x0
520,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
521,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
522,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
523,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
524,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
525,0x182,0x182,0x2386,0x0,0x0,0x0,0x0,0x0,0x0
526,0x2a,0xffff,0x0,0x100,0x19d01b8,0x3,0x0,0x0,0xff
527,0x3400,0x0,0x3358,0x81c,0x6160005f,0x65,0x0,0x0,0x66
528,0x0,0x23,0x60c,0xd00,0x450244,0x16,0x0,0xf,0x0
529,0x45,0x16,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
530,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
531,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
532,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
533,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
534,0x424,0x0,0x183,0x183,0x2487,0x0,0x0,0x0,0x0
535,0x0,0x0,0x2b,0xffff,0x1000000,0xb9,0x1,0x9d,0x1
536,0x3,0xff00,0x3400,0x0,0x81c3360,0x88,0x0,0x89,0x8a
537,0x8b,0x8c00,0x0,0x24,0xb000001,0x34,0x2,0x12,0x0
538,0x17,0xf,0x12,0x17,0xffff000f,0xff,0xff,0xb,0x0
539,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
540,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
541,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
542,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
543,0x424,0x0,0x424,0x0,0x1840184,0x8d,0x25,0x0,0x0
544,0x0,0x0,0x0,0x0,0xffff0002,0x0,0x0,0x1,0x1
545,0x1c0,0x19e,0x1,0xff00,0x900,0x64,0x33,0x1c,0x8
546,0x88,0x8a89,0x8e,0x8f00,0x250000,0x1,0x0,0x0,0xb
547,0x234,0x12,0x17,0xf,0x170012,0xf,0x0,0xff,0xff
548,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
549,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
550,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
551,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
552,0x424,0x0,0x424,0x0,0x424,0x85,0x1,0x85,0x1
553,0x2690,0x0,0x0,0x0,0x0,0x4,0x0,0xff,0xff
554,0x0,0x101,0x1c0,0x19e,0xff000001,0x0,0x9,0x0,0x0
555,0x3368,0x81c,0x88,0x8a89,0x92000091,0x0,0x0,0x26,0x0
556,0x1,0xb00,0x234,0x12,0xf0017,0x12,0x0,0x17,0x0
557,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
558,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
559,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
560,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
561,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
562,0x186,0x186,0x2793,0x0,0x0,0x0,0x0,0x0,0x0
563,0x6,0xffff,0x0,0x101,0x19e01c0,0x1,0x0,0x0,0xff
564,0x900,0x0,0x336c,0x81c,0x8a890088,0x94,0x0,0x0,0x95
565,0x0,0x27,0x1,0xb00,0x120234,0x17,0x0,0xf,0x0
566,0x12,0x17,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
567,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
568,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
569,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
570,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
571,0x424,0x0,0x187,0x187,0x2896,0x0,0x0,0x0,0x0
572,0x0,0x0,0x8,0xffff,0x1010000,0xc0,0x1,0x9e,0x1
573,0x1,0xff00,0x900,0x0,0x81c3370,0x88,0x0,0x89,0x8a
574,0x97,0x9800,0x0,0x28,0xb000001,0x34,0x2,0x12,0x0
575,0x17,0xf,0x12,0x17,0xffff000f,0xff,0xff,0xb,0x0
576,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
577,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
578,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
579,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
580,0x424,0x0,0x424,0x0,0x1880188,0x99,0x29,0x0,0x0
581,0x0,0x0,0x0,0x0,0xffff000a,0x0,0x0,0x1,0x1
582,0x1c0,0x19e,0x1,0xff00,0x900,0x74,0x33,0x1c,0x8
583,0x88,0x8a89,0x9a,0x9b00,0x290000,0x1,0x0,0x0,0xb
584,0x234,0x12,0x17,0xf,0x170012,0xf,0x0,0xff,0xff
585,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
586,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
587,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
588,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
589,0x424,0x0,0x424,0x0,0x424,0x89,0x1,0x89,0x1
590,0x2a9c,0x0,0x0,0x0,0x0,0xc,0x0,0xff,0xff
591,0x0,0x101,0x1c0,0x19e,0xff000001,0x0,0x9,0x0,0x0
592,0x3378,0x81c,0x88,0x8a89,0x9e00009d,0x0,0x0,0x2a,0x0
593,0x1,0xb00,0x234,0x12,0xf0017,0x12,0x0,0x17,0x0
594,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
595,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
596,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
597,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
598,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
599,0x18a,0x18a,0x2b9f,0x0,0x0,0x0,0x0,0x0,0x0
600,0xe,0xffff,0x0,0x101,0x19e01c0,0x1,0x0,0x0,0xff
601,0x900,0x0,0x337c,0x81c,0x8a890088,0xa0,0x0,0x0,0xa1
602,0x0,0x2b,0x1,0xb00,0x120234,0x17,0x0,0xf,0x0
603,0x12,0x17,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
604,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
605,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
606,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
607,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
608,0x424,0x0,0x18b,0x18b,0x2ca2,0x0,0x0,0x0,0x0
609,0x0,0x0,0x10,0xffff,0x1010000,0xc0,0x1,0x9e,0x1
610,0x1,0xff00,0x900,0x0,0x81c3380,0x88,0x0,0x89,0x8a
611,0xa0,0xa100,0x0,0x0,0xb000001,0x34,0x2,0xff,0xff
612,0xffff,0xffff,0xffff,0xffff,0xffffffff,0xff,0xff,0xff,0xff
613,0xffff,0xffff,0x32,0x0,0x0,0x0,0x0,0x0,0x0
614,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
615,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
616,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
617,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
618,0x0,0x0,0x0,0x0,0xffff0000,0x0,0x0,0x0,0x0
619,0x0,0x0,0x0,0xff00,0x0,0x80,0x33,0x1c,0x8
620,0x88,0x8a89,0xa0,0xa100,0x0,0x1,0x0,0x0,0xb
621,0x234,0xffff,0xffff,0xffff,0xffffffff,0xff,0xff,0xff,0xff
622,0xffff,0xffff,0xffff,0xffff,0x32,0x0,0x0,0x0,0x0
623,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
624,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
625,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
626,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
627,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff
628,0x0,0x0,0x0,0x0,0xff000000,0x0,0x0,0x0,0x0
629,0x3384,0x81c,0x6c,0x6ea3,0xa50005a4,0x0,0x0,0x2e,0x0
630,0x1,0xe00,0x244,0x12,0xf0017,0x12,0x0,0x17,0x0
631,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
632,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
633,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
634,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
635,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
636,0x18e,0x18e,0x2da6,0x0,0x0,0x0,0x0,0x0,0x0
637,0x2,0xffff,0x0,0x101,0x19e01c0,0x1,0x0,0x0,0xff
638,0x900,0x0,0x3388,0x81c,0x6ea3006c,0xa7,0x5,0x0,0xa8
639,0x0,0x2f,0x1,0xe00,0x120244,0x17,0x0,0xf,0x0
640,0x12,0x17,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
641,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
642,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
643,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
644,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
645,0x424,0x0,0x18f,0x18f,0x2ea9,0x0,0x0,0x0,0x0
646,0x0,0x0,0x4,0xffff,0x1010000,0xc0,0x1,0x9e,0x1
647,0x1,0xff00,0x900,0x0,0x81c338c,0x6c,0x0,0xa3,0x6e
648,0x5aa,0xab00,0x0,0x30,0xe000001,0x44,0x2,0x12,0x0
649,0x17,0xf,0x12,0x17,0xffff000f,0xff,0xff,0xb,0x0
650,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
651,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
652,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
653,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
654,0x424,0x0,0x424,0x0,0x1900190,0xac,0x2f,0x0,0x0
655,0x0,0x0,0x0,0x0,0xffff0006,0x0,0x0,0x1,0x1
656,0x1c0,0x19e,0x1,0xff00,0x900,0x90,0x33,0x1c,0x8
657,0x6c,0x6ea3,0x5ad,0xae00,0x310000,0x1,0x0,0x0,0xe
658,0x244,0x12,0x17,0xf,0x170012,0xf,0x0,0xff,0xff
659,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
660,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
661,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
662,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
663,0x424,0x0,0x424,0x0,0x424,0x91,0x1,0x91,0x1
664,0x30af,0x0,0x0,0x0,0x0,0x8,0x0,0xff,0xff
665,0x0,0x101,0x1c0,0x19e,0xff000001,0x0,0x9,0x0,0x0
666,0x3394,0x81c,0x6c,0x6ea3,0xb10005b0,0x0,0x0,0x32,0x0
667,0x1,0xe00,0x244,0x12,0xf0017,0x12,0x0,0x17,0x0
668,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
669,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
670,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
671,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
672,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
673,0x192,0x192,0x31b2,0x0,0x0,0x0,0x0,0x0,0x0
674,0xa,0xffff,0x0,0x101,0x19e01c0,0x1,0x0,0x0,0xff
675,0x900,0x0,0x3398,0x81c,0x6ea3006c,0xb3,0x5,0x0,0xb4
676,0x0,0x33,0x1,0xe00,0x120244,0x17,0x0,0xf,0x0
